id,question,gold,delta_qwen_minus_original,diagnosis,original_action,original_answer,original_f1,original_calls,original_repair_count,original_last_suff,original_last_need_more,original_last_statuses,original_last_evidence_ids,original_last_query,original_last_action,qwen_action,qwen_answer,qwen_f1,qwen_calls,qwen_repair_count,qwen_last_suff,qwen_last_need_more,qwen_last_statuses,qwen_last_evidence_ids,qwen_last_query,qwen_last_action
2hop__132854_417697,Mohammed Atta has what kind of model of the company that makes Datsun Type 12?,Nissan Altima,0.0,tie_or_small_difference,abstain,,0.0,3,0,insufficient,True,unsupported,,Does Mohammed Atta own or have any connection to a Datsun model or Nissan?,abstain,abstain,,0.0,3,0,insufficient,True,unsupported,2hop__132854_417697::p10|3hop2__132957_133264_40768::p13|2hop__132854_417697::p16,What is the relationship between Mohammed Atta and Nissan or any other company involved in manufacturing the Datsun Type 12?,abstain
2hop__136179_13529,When was the player that Iglesia Maradoniana is named after signed by Barcelona?,June 1982,0.0,tie_or_small_difference,answer,June 1982,1.0,1,0,sufficient,False,supported,2hop__3739_13529|2hop__136179_13529,When was the player that Iglesia Maradoniana is named after signed by Barcelona?,answer,answer,June 1982,1.0,1,0,sufficient,False,supported,2hop__3739_13529::p16|2hop__136179_13529::p4,When was the player that Iglesia Maradoniana is named after signed by Barcelona?,answer
2hop__151750_141308,What company is the record label of Magic Christian Music part of?,Apple Corps,0.0,tie_or_small_difference,answer,Apple Corps Ltd,0.8,1,0,sufficient,False,supported,2hop__151750_141308::p14|2hop__151750_141308::p7,What company is the record label of Magic Christian Music part of?,answer,answer,Apple Corps Ltd.,0.8,1,0,sufficient,False,supported,2hop__151750_141308::p14|2hop__151750_141308::p7,What company is the record label of Magic Christian Music part of?,answer
2hop__194469_83289,Who is the guy in the One Last Time video by the participant in The Listening Sessions?,Matt Bennett,0.0,tie_or_small_difference,answer,Matt Bennett,1.0,2,0,sufficient,False,supported,2hop__194469_83289::p19,Identify the participant from The Listening Sessions featured in the One Last Time video by Ariana Grande.,answer,answer,Matt Bennett,1.0,1,0,sufficient,False,supported,2hop__194469_83289::p19,Who is the guy in the One Last Time video by the participant in The Listening Sessions?,answer
2hop__244193_461106,What movement does the creator of the Washington Monument belong to?,Greek Revival,0.0,tie_or_small_difference,abstain,,0.0,3,0,insufficient,True,unsupported,2hop__92590_43786::p18|2hop__244193_461106::p6,"What movement does Robert Mills, the creator of the Washington Monument, belong to?",abstain,abstain,,0.0,3,0,insufficient,True,unsupported,3hop2__14777_8533_9331::p2|3hop1__92991_73181_68042::p8,What was Robert Mills' political or ideological affiliation?,abstain
2hop__247353_55227,Who plays the wife of Here Comes the Boom's screenwriter in Grown Ups?,Maria Bello,0.0,qwen_verifier_or_answer_more_permissive,abstain,,0.0,2,0,insufficient,True,unsupported,2hop__247353_55227|2hop__247353_55227::p6,Who is the wife of Here Comes the Boom's screenwriter in the movie Grown Ups?,abstain,answer,Salma Hayek,0.0,2,0,sufficient,False,supported,2hop__247353_55227::p17|2hop__247353_55227::p6,"Who is the screenwriter of Here Comes the Boom, and who plays their wife in Grown Ups?",answer
2hop__249867_557232,Which country is the Desert Forest Golf Club located in?,Maricopa County,0.0,tie_or_small_difference,answer,United States,0.0,1,0,sufficient,False,supported,2hop__249867_557232::p3,Which country is the Desert Forest Golf Club located in?,answer,answer,Arizona,0.0,1,0,sufficient,False,supported,2hop__249867_557232::p3,Which country is the Desert Forest Golf Club located in?,answer
2hop__25797_25855,"What does Dell call the feature that enables drives using the feature where 1.1 was the first widely used version, to remain powered when a computer is off?",PowerShare,0.0,tie_or_small_difference,answer,PowerShare,1.0,1,0,sufficient,False,supported,2hop__25797_25855::p14,"What does Dell call the feature that enables drives using the feature where 1.1 was the first widely used version, to remain powered when a computer is off?",answer,answer,PowerShare,1.0,1,0,sufficient,False,supported,2hop__25797_25855::p14,"What does Dell call the feature that enables drives using the feature where 1.1 was the first widely used version, to remain powered when a computer is off?",answer
2hop__2682_577502,Who is the spouse of the famous governor signing legislation in honor of Donda West's death?,Maria Shriver,0.0,tie_or_small_difference,answer,Maria Shriver,1.0,2,0,sufficient,False,supported,2hop__2682_577502::p17|2hop__2682_577502::p9,Who is the spouse of California governor Arnold Schwarzenegger?,answer,answer,Maria Shriver,1.0,2,0,sufficient,False,supported,2hop__2682_577502::p17,Who is Arnold Schwarzenegger's spouse?,answer
2hop__28203_55840,Who played king whose regal Name did Albert Adopt in the king's speech?,Colin Firth,0.0,tie_or_small_difference,answer,Colin Firth,1.0,1,0,sufficient,False,supported,2hop__28203_55840::p5|2hop__28203_55840::p7,Who played king whose regal Name did Albert Adopt in the king's speech?,answer,answer,Colin Firth,1.0,1,0,sufficient,False,supported,2hop__28203_55840::p5,Who played king whose regal Name did Albert Adopt in the king's speech?,answer
2hop__286621_84856,When does the new season of the show named for the Politically Incorrect cast member?,"January 20, 2017",0.0,tie_or_small_difference,abstain,,0.0,3,0,insufficient,True,unsupported,2hop__286621_84856|3hop1__140786_2053_5289|3hop1__389955_132457_47686|3hop1__312146_720914_27537|3hop1__652852_2053_52946|3hop1__140786_2053_52946,Find a show named after a Politically Incorrect cast member and its new season release date.,abstain,abstain,,0.0,3,0,insufficient,True,unsupported,2hop__286621_84856::p17|2hop__286621_84856::p15,"What is the name of a show that is named after a cast member from Politically Incorrect, and when does its new season air?",abstain
2hop__31124_31122,What century did a notable subjective idealist live in?,18th,0.0,tie_or_small_difference,answer,18th century,0.6666666666666666,1,0,sufficient,False,supported,2hop__31124_31122::p15|2hop__167577_31122::p14,What century did a notable subjective idealist live in?,answer,answer,18th-century,0.6666666666666666,1,0,sufficient,False,supported,2hop__31124_31122::p15|2hop__167577_31122::p14,What century did a notable subjective idealist live in?,answer
2hop__351045_47134,What is the mascot of the operator of RV Wecoma?,Benny Beaver,0.0,tie_or_small_difference,answer,Benny Beaver,1.0,2,0,sufficient,False,supported,2hop__351045_47134::p2|2hop__351045_47134::p4,What is the mascot of the College of Oceanic & Atmospheric Sciences at Oregon State University?,answer,answer,Benny Beaver,1.0,2,0,sufficient,False,supported,2hop__351045_47134::p4|2hop__351045_47134::p2,What is the mascot of the College of Oceanic & Atmospheric Sciences at Oregon State University?,answer
2hop__370564_71701,What year did the japanese get to the current administrative territorial entity of the Century Lotus Stadium and the rest of the guangdong province?,November 5,0.0,qwen_verifier_stricter_or_answer_not_supported,answer,1941,0.0,1,0,sufficient,False,supported,2hop__370564_71701::p18,What year did the japanese get to the current administrative territorial entity of the Century Lotus Stadium and the rest of the guangdong province?,answer,abstain,,0.0,3,0,insufficient,True,unsupported,2hop__370564_71701::p18,"What specific year did Japanese forces occupy Foshan, where the Century Lotus Stadium is located, and the rest of Guangdong province during World War II?",abstain
2hop__3739_13529,When was the football star who backed out due to relay controversy signed by Barcelona?,June 1982,0.0,tie_or_small_difference,abstain,,0.0,3,0,insufficient,True,unsupported,2hop__136179_13529,Find evidence about a football star who backed out of a deal with Barcelona due to a relay controversy.,abstain,abstain,,0.0,3,0,insufficient,True,unsupported,2hop__3739_13529::p14,"Who is the football star who backed out due to the relay controversy, and when was he signed by Barcelona?",abstain
2hop__142699_67465,When did the rapper on On and On and Beyond release Best day Ever?,"March 11, 2011",0.5,qwen_answer_generation_improved,answer,2011,0.5,1,0,sufficient,False,supported,2hop__567588_67465|2hop__142699_67465|2hop__142699_67465,When did the rapper on On and On and Beyond release Best day Ever?,answer,answer,"March 11, 2011.",1.0,1,0,sufficient,False,supported,2hop__142699_67465::p11,When did the rapper on On and On and Beyond release Best day Ever?,answer
2hop__167577_31122,What century did the author of A Treatise Concerning the Principles of Human Knowledge live in?,18th,0.6666666666666666,qwen_verifier_or_answer_more_permissive,abstain,,0.0,2,0,unclear,False,unsupported,2hop__167577_31122,What century did the author of A Treatise Concerning the Principles of Human Knowledge live in?,abstain,answer,18th century.,0.6666666666666666,1,0,sufficient,False,supported,2hop__167577_31122::p10,What century did the author of A Treatise Concerning the Principles of Human Knowledge live in?,answer
2hop__315267_277284,What administrative territorial entity includes the place where Bill Cockcroft was educated?,"Tonbridge, Kent",0.6666666666666666,qwen_verifier_or_answer_more_permissive,abstain,,0.0,2,0,insufficient,True,unsupported,,What administrative territorial entity includes the place where Bill Cockcroft was educated?,abstain,answer,Kent,0.6666666666666666,2,0,sufficient,False,supported,2hop__315267_277284::p18|2hop__315267_277284::p15,Where is The Judd School and the University of South Bank located in relation to The City of Westminster?,answer
2hop__129721_40482,From whom did the Huguenots in the state encompassing Zubly Cemetery purchase land from?,Edmund Bellinger,1.0,qwen_verifier_or_answer_more_permissive,abstain,,0.0,2,0,insufficient,True,unsupported,2hop__129721_40482::p18|2hop__129721_40482::p3|2hop__129721_40482::p14,"Who did the Huguenots in Aiken County, South Carolina purchase land from?",abstain,answer,Edmund Bellinger,1.0,1,0,sufficient,False,supported,2hop__129721_40482::p14,From whom did the Huguenots in the state encompassing Zubly Cemetery purchase land from?,answer
2hop__20268_42014,How many members in the seats of the organization that enacted the Directory of Public Worship into law are members of the Scottish Government?,2,1.0,qwen_verifier_or_answer_more_permissive,abstain,,0.0,2,0,insufficient,True,unsupported,2hop__20268_42014::p1|2hop__20268_42014::p8,How many members of the Scottish Government were part of the Scottish Parliament when the Directory of Public Worship was enacted into law?,abstain,answer,2,1.0,2,0,sufficient,False,supported,2hop__20268_42014::p8,"What is the composition of the organization that enacted the Directory of Public Worship into law, and how many of its members are affiliated with the Scottish Government?",answer
